Precodice;ID;ID Prodotto;Codice Prodotto;Prodotto;Categoria Merceologica;Fornitore;Costo Unitario;Periodo;;
PS;362;PS362;PSSpe362;Spezie;Cibo;San Patrizio Food&Beverage LTD;9,43;31/12/2019;;
PB;363;PB363;PBLiq363;Liquori;Bibite;Bibite Fresche SPA;30,67;31/12/2019;;
PB;364;PB364;PBLiq364;Liquori;Bibite;Bibite Fresche SPA;32,77;31/12/2019;;
PB;365;PB365;PBBib365;Bibite Energetiche;Bibite;Bibite Fresche SPA;48,84;31/12/2019;;
PB;366;PB366;PBBib366;Bibite Energetiche;Bibite;Bibite Fresche SPA;55,55;31/12/2019;;
PB;367;PB367;PBBib367;Bibite Energetiche;Bibite;Bibite Fresche SPA;55,62;31/12/2019;;
PB;368;PB368;PBLiq368;Liquori;Bibite;Bibite Fresche SPA;41,94;31/12/2019;;
PC;369;PC369;PCCaf369;Caffè;Cibo;Caffe Brasiliano SARL;4,50;31/12/2019;;
PM;370;PM370;PMMie370;Miele;Cibo;Mangia Sano SNC;34,68;31/12/2019;;
PM;371;PM371;PMMie371;Miele;Cibo;Mangia Sano SNC;31,23;31/12/2019;;
PD;372;PD372;PDDol372;Dolci vari;Cibo;Dolci Grossi SRL;12,88;31/12/2019;;
PD;373;PD373;PDDol373;Dolci vari;Cibo;Dolci Grossi SRL;6,35;31/12/2019;;
PD;374;PD374;PDDol374;Dolci vari;Cibo;Dolci Grossi SRL;6,49;31/12/2019;;
PD;375;PD375;PDDol375;Dolci vari;Cibo;Dolci Grossi SRL;11,62;31/12/2019;;
PM;376;PM376;PMSpr376;Spruzza;Cibo;Mangia Sano SNC;8,42;31/12/2019;;
PM;377;PM377;PMSpr377;Spruzza;Cibo;Mangia Sano SNC;9,04;31/12/2019;;
PM;378;PM378;PMMie378;Miele;Cibo;Mangia Sano SNC;18,98;31/12/2019;;
PM;379;PM379;PMMie379;Miele;Cibo;Mangia Sano SNC;11,31;31/12/2019;;
PM;380;PM380;PMMie380;Miele;Cibo;Mangia Sano SNC;19,79;31/12/2019;;
PM;381;PM381;PMMie381;Miele;Cibo;Mangia Sano SNC;11,73;31/12/2019;;
PM;382;PM382;PMFar382;Farina;Cibo;Mangia Sano SNC;4,71;31/12/2019;;
PB;383;PB383;PBVin383;Vino;Bibite;Bibite Fresche SPA;25,01;31/12/2019;;
PB;384;PB384;PBVin384;Vino;Bibite;Bibite Fresche SPA;25,24;31/12/2019;;
PB;385;PB385;PBLiq385;Liquori;Bibite;Bibite Fresche SPA;5,64;31/12/2019;;
PB;386;PB386;PBLiq386;Liquori;Bibite;Bibite Fresche SPA;5,57;31/12/2019;;
PB;387;PB387;PBVin387;Vino Bianco;Bibite;Bibite Fresche SPA;1,90;31/12/2019;;
PB;388;PB388;PBVin388;Vino Bianco;Bibite;Bibite Fresche SPA;1,89;31/12/2019;;
PB;389;PB389;PBVin389;Vino;Bibite;Bibite Fresche SPA;24,20;31/12/2019;;
PB;390;PB390;PBVin390;Vino Bianco;Bibite;Bibite Fresche SPA;1,30;31/12/2019;;
PB;391;PB391;PBVin391;Vino Bianco;Bibite;Bibite Fresche SPA;1,40;31/12/2019;;
PB;392;PB392;PBVin392;Vino;Bibite;Bibite Fresche SPA;24,14;31/12/2019;;
PB;393;PB393;PBVin393;Vino Bianco;Bibite;Bibite Fresche SPA;1,35;31/12/2019;;
PB;394;PB394;PBVin394;Vino Bianco;Bibite;Bibite Fresche SPA;1,37;31/12/2019;;
PB;395;PB395;PBVin395;Vino Bianco;Bibite;Bibite Fresche SPA;1,36;31/12/2019;;
PB;396;PB396;PBVin396;Vino Bianco;Bibite;Bibite Fresche SPA;1,40;31/12/2019;;
PB;397;PB397;PBVin397;Vino;Bibite;Bibite Fresche SPA;2,45;31/12/2019;;
PB;398;PB398;PBLiq398;Liquori;Bibite;Bibite Fresche SPA;27,53;31/12/2019;;
PB;399;PB399;PBLiq399;Liquori;Bibite;Bibite Fresche SPA;28,65;31/12/2019;;
PB;400;PB400;PBLiq400;Liquori;Bibite;Bibite Fresche SPA;36,73;31/12/2019;;
PS;401;PS401;PSOrt401;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;1,44;31/12/2019;;
PS;402;PS402;PSOrt402;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;1,47;31/12/2019;;
PS;403;PS403;PSOrt403;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;1,48;31/12/2019;;
PS;404;PS404;PSOrt404;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;1,48;31/12/2019;;
PD;405;PD405;PDDol405;Dolci vari;Cibo;Dolci Grossi SRL;9,42;31/12/2019;;
PB;406;PB406;PBBib406;Bibite Energetiche;Bibite;Bibite Fresche SPA;26,18;31/12/2019;;
PB;407;PB407;PBBib407;Bibite Energetiche;Bibite;Bibite Fresche SPA;69,58;31/12/2019;;
PB;408;PB408;PBBib408;Bibite Energetiche;Bibite;Bibite Fresche SPA;62,95;31/12/2019;;
PB;409;PB409;PBVin409;Vino rosso;Bibite;Bibite Fresche SPA;0,73;31/12/2019;;
PB;410;PB410;PBVin410;Vino rosso;Bibite;Bibite Fresche SPA;0,73;31/12/2019;;
PB;411;PB411;PBVin411;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;412;PB412;PBVin412;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;413;PB413;PBVin413;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;414;PB414;PBVin414;Vino rosso;Bibite;Bibite Fresche SPA;0,71;31/12/2019;;
PB;415;PB415;PBVin415;Vino rosso;Bibite;Bibite Fresche SPA;0,72;31/12/2019;;
PB;416;PB416;PBVin416;Vino rosso;Bibite;Bibite Fresche SPA;0,71;31/12/2019;;
PB;417;PB417;PBVin417;Vino rosso;Bibite;Bibite Fresche SPA;0,77;31/12/2019;;
PB;418;PB418;PBVin418;Vino rosso;Bibite;Bibite Fresche SPA;0,75;31/12/2019;;
PB;419;PB419;PBVin419;Vino rosso;Bibite;Bibite Fresche SPA;0,72;31/12/2019;;
PB;420;PB420;PBVin420;Vino rosso;Bibite;Bibite Fresche SPA;0,72;31/12/2019;;
PB;421;PB421;PBVin421;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;422;PB422;PBVin422;Vino rosso;Bibite;Bibite Fresche SPA;0,73;31/12/2019;;
PB;423;PB423;PBVin423;Vino rosso;Bibite;Bibite Fresche SPA;0,77;31/12/2019;;
PB;424;PB424;PBVin424;Vino rosso;Bibite;Bibite Fresche SPA;0,75;31/12/2019;;
PB;425;PB425;PBVin425;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;426;PB426;PBVin426;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;427;PB427;PBVin427;Vino rosso;Bibite;Bibite Fresche SPA;0,77;31/12/2019;;
PB;428;PB428;PBVin428;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;429;PB429;PBVin429;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PM;430;PM430;PMLie430;Lievito;Cibo;Mangia Sano SNC;1,11;31/12/2019;;
PM;431;PM431;PMLie431;Lievito;Cibo;Mangia Sano SNC;1,10;31/12/2019;;
PM;432;PM432;PMLie432;Lievito;Cibo;Mangia Sano SNC;1,07;31/12/2019;;
PS;433;PS433;PSSpe433;Spezie;Cibo;San Patrizio Food&Beverage LTD;6,99;31/12/2019;;
PB;434;PB434;PBLiq434;Liquori;Bibite;Bibite Fresche SPA;4,50;31/12/2019;;
PB;435;PB435;PBLiq435;Liquori;Bibite;Bibite Fresche SPA;4,84;31/12/2019;;
PB;436;PB436;PBLiq436;Liquori;Bibite;Bibite Fresche SPA;4,80;31/12/2019;;
PB;437;PB437;PBLiq437;Liquori;Bibite;Bibite Fresche SPA;4,86;31/12/2019;;
PB;438;PB438;PBLiq438;Liquori;Bibite;Bibite Fresche SPA;13,72;31/12/2019;;
PC;439;PC439;PCZuc439;Zucchero;Cibo;Caffe Brasiliano SARL;2,11;31/12/2019;;
PC;440;PC440;PCZuc440;Zucchero;Cibo;Caffe Brasiliano SARL;2,11;31/12/2019;;
PM;441;PM441;PMAce441;Aceto;Cibo;Mangia Sano SNC;5,34;31/12/2019;;
PB;442;PB442;PBLiq442;Liquori;Bibite;Bibite Fresche SPA;14,07;31/12/2019;;
PB;443;PB443;PBLiq443;Liquori;Bibite;Bibite Fresche SPA;14,23;31/12/2019;;
PB;444;PB444;PBLiq444;Liquori;Bibite;Bibite Fresche SPA;36,79;31/12/2019;;
PB;445;PB445;PBLiq445;Liquori;Bibite;Bibite Fresche SPA;37,16;31/12/2019;;
PB;446;PB446;PBLiq446;Liquori;Bibite;Bibite Fresche SPA;38,90;31/12/2019;;
PB;447;PB447;PBLiq447;Liquori;Bibite;Bibite Fresche SPA;38,92;31/12/2019;;
PB;448;PB448;PBLiq448;Liquori;Bibite;Bibite Fresche SPA;35,91;31/12/2019;;
PM;449;PM449;PMSpr449;Spruzza;Cibo;Mangia Sano SNC;8,76;31/12/2019;;
PB;450;PB450;PBLiq450;Liquori;Bibite;Bibite Fresche SPA;37,65;31/12/2019;;
PB;451;PB451;PBLiq451;Liquori;Bibite;Bibite Fresche SPA;79,73;31/12/2019;;
PB;452;PB452;PBLiq452;Liquori;Bibite;Bibite Fresche SPA;81,16;31/12/2019;;
PB;453;PB453;PBLiq453;Liquori;Bibite;Bibite Fresche SPA;6,86;31/12/2019;;
PB;454;PB454;PBBib454;Bibite Energetiche;Bibite;Bibite Fresche SPA;11,94;31/12/2019;;
PB;455;PB455;PBBib455;Bibite Energetiche;Bibite;Bibite Fresche SPA;12,58;31/12/2019;;
PB;456;PB456;PBBib456;Bibite Energetiche;Bibite;Bibite Fresche SPA;13,24;31/12/2019;;
PB;457;PB457;PBBib457;Bibite Energetiche;Bibite;Bibite Fresche SPA;13,24;31/12/2019;;
PB;458;PB458;PBBib458;Bibite Energetiche;Bibite;Bibite Fresche SPA;13,24;31/12/2019;;
PB;459;PB459;PBBib459;Bibite Energetiche;Bibite;Bibite Fresche SPA;55,60;31/12/2019;;
PC;460;PC460;PCLat460;Latte;Cibo;Caffe Brasiliano SARL;7,24;31/12/2019;;
PM;461;PM461;PMFar461;Farina;Cibo;Mangia Sano SNC;0,67;31/12/2019;;
PB;462;PB462;PBVin462;Vino Bianco;Bibite;Bibite Fresche SPA;1,86;31/12/2019;;
PB;463;PB463;PBVin463;Vino Bianco;Bibite;Bibite Fresche SPA;1,88;31/12/2019;;
PS;464;PS464;PSOli464;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;1,20;31/12/2019;;
PS;465;PS465;PSOrt465;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;8,95;31/12/2019;;
PS;466;PS466;PSOrt466;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;8,82;31/12/2019;;
PS;467;PS467;PSOli467;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;1,23;31/12/2019;;
PS;468;PS468;PSOrt468;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;2,87;31/12/2019;;
PS;469;PS469;PSOrt469;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;2,86;31/12/2019;;
PM;470;PM470;PMSpr470;Spruzza;Cibo;Mangia Sano SNC;8,57;31/12/2019;;
PM;471;PM471;PMAce471;Aceto;Cibo;Mangia Sano SNC;3,71;31/12/2019;;
PM;472;PM472;PMSpr472;Spruzza;Cibo;Mangia Sano SNC;9,20;31/12/2019;;
PD;473;PD473;PDDol473;Dolci in scatola;Cibo;Dolci Grossi SRL;2,71;31/12/2019;;
PC;474;PC474;PCZuc474;Zucchero;Cibo;Caffe Brasiliano SARL;2,66;31/12/2019;;
PC;475;PC475;PCZuc475;Zucchero;Cibo;Caffe Brasiliano SARL;2,61;31/12/2019;;
PB;476;PB476;PBVin476;Vino Bianco;Bibite;Bibite Fresche SPA;1,24;31/12/2019;;
PB;477;PB477;PBVin477;Vino Bianco;Bibite;Bibite Fresche SPA;1,21;31/12/2019;;
PB;478;PB478;PBVin478;Vino Bianco;Bibite;Bibite Fresche SPA;1,59;31/12/2019;;
PC;479;PC479;PCCaf479;Caffè in capsule;Cibo;Caffe Brasiliano SARL;3,27;31/12/2019;;
PS;480;PS480;PSOli480;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,21;31/12/2019;;
PD;481;PD481;PDDol481;Dolci vari;Cibo;Dolci Grossi SRL;19,07;31/12/2019;;
PM;482;PM482;PMFar482;Farina;Cibo;Mangia Sano SNC;9,45;31/12/2019;;
PS;483;PS483;PSOli483;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,25;31/12/2019;;
PS;484;PS484;PSOli484;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,25;31/12/2019;;
PS;485;PS485;PSOli485;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,26;31/12/2019;;
PS;486;PS486;PSOrt486;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,20;31/12/2019;;
PM;487;PM487;PMMie487;Miele;Cibo;Mangia Sano SNC;32,71;31/12/2019;;
PM;488;PM488;PMMie488;Miele;Cibo;Mangia Sano SNC;16,48;31/12/2019;;
PM;489;PM489;PMMie489;Miele;Cibo;Mangia Sano SNC;30,51;31/12/2019;;
PC;490;PC490;PCCaf490;Caffè;Cibo;Caffe Brasiliano SARL;22,78;31/12/2019;;
PB;491;PB491;PBVin491;Vino;Bibite;Bibite Fresche SPA;15,33;31/12/2019;;
PB;492;PB492;PBVin492;Vino;Bibite;Bibite Fresche SPA;15,31;31/12/2019;;
PB;493;PB493;PBVin493;Vino;Bibite;Bibite Fresche SPA;15,89;31/12/2019;;
PB;494;PB494;PBVin494;Vino Bianco;Bibite;Bibite Fresche SPA;1,28;31/12/2019;;
PB;495;PB495;PBVin495;Vino Bianco;Bibite;Bibite Fresche SPA;1,36;31/12/2019;;
PB;496;PB496;PBVin496;Vino rosso;Bibite;Bibite Fresche SPA;0,71;31/12/2019;;
PB;497;PB497;PBVin497;Vino rosso;Bibite;Bibite Fresche SPA;0,75;31/12/2019;;
PB;498;PB498;PBVin498;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;499;PB499;PBVin499;Vino rosso;Bibite;Bibite Fresche SPA;0,75;31/12/2019;;
PB;500;PB500;PBVin500;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;501;PB501;PBVin501;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;502;PB502;PBVin502;Vino rosso;Bibite;Bibite Fresche SPA;0,79;31/12/2019;;
PB;503;PB503;PBVin503;Vino rosso;Bibite;Bibite Fresche SPA;0,77;31/12/2019;;
PS;504;PS504;PSOli504;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,66;31/12/2019;;
PS;505;PS505;PSOli505;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,65;31/12/2019;;
PS;506;PS506;PSOli506;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,66;31/12/2019;;
PC;507;PC507;PCLat507;Latte;Cibo;Caffe Brasiliano SARL;1,72;31/12/2019;;
PC;508;PC508;PCCaf508;Caffè;Cibo;Caffe Brasiliano SARL;23,18;31/12/2019;;
PS;509;PS509;PSSpe509;Spezie;Cibo;San Patrizio Food&Beverage LTD;2,83;31/12/2019;;
PC;510;PC510;PCTè510;Tè;Bibite;Caffe Brasiliano SARL;7,43;31/12/2019;;
PS;511;PS511;PSOli511;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;5,01;31/12/2019;;
PM;512;PM512;PMLie512;Lievito;Cibo;Mangia Sano SNC;0,21;31/12/2019;;
PM;513;PM513;PMLie513;Lievito;Cibo;Mangia Sano SNC;0,20;31/12/2019;;
PM;514;PM514;PMLie514;Lievito;Cibo;Mangia Sano SNC;0,67;31/12/2019;;
PM;515;PM515;PMLie515;Lievito;Cibo;Mangia Sano SNC;0,66;31/12/2019;;
PM;516;PM516;PMLie516;Lievito;Cibo;Mangia Sano SNC;0,68;31/12/2019;;
PC;517;PC517;PCCaf517;Caffè;Cibo;Caffe Brasiliano SARL;22,57;31/12/2019;;
PM;518;PM518;PMFar518;Farina;Cibo;Mangia Sano SNC;2,45;31/12/2019;;
PM;519;PM519;PMFar519;Farina;Cibo;Mangia Sano SNC;2,44;31/12/2019;;
PM;520;PM520;PMFar520;Farina;Cibo;Mangia Sano SNC;2,42;31/12/2019;;
PM;521;PM521;PMFar521;Farina;Cibo;Mangia Sano SNC;2,45;31/12/2019;;
PM;522;PM522;PMFar522;Farina;Cibo;Mangia Sano SNC;2,46;31/12/2019;;
PM;523;PM523;PMFar523;Farina;Cibo;Mangia Sano SNC;2,45;31/12/2019;;
PM;524;PM524;PMFar524;Farina;Cibo;Mangia Sano SNC;2,45;31/12/2019;;
PM;525;PM525;PMSpr525;Spruzza;Cibo;Mangia Sano SNC;8,33;31/12/2019;;
PM;526;PM526;PMFar526;Farina;Cibo;Mangia Sano SNC;2,41;31/12/2019;;
PM;527;PM527;PMFar527;Farina;Cibo;Mangia Sano SNC;2,45;31/12/2019;;
PM;528;PM528;PMFar528;Farina;Cibo;Mangia Sano SNC;2,42;31/12/2019;;
PS;529;PS529;PSOli529;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;1,35;31/12/2019;;
PS;530;PS530;PSOli530;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,64;31/12/2019;;
PS;531;PS531;PSOli531;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,61;31/12/2019;;
PS;532;PS532;PSOli532;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;1,35;31/12/2019;;
PB;533;PB533;PBVin533;Vino rosso;Bibite;Bibite Fresche SPA;0,73;31/12/2019;;
PB;534;PB534;PBVin534;Vino rosso;Bibite;Bibite Fresche SPA;0,74;31/12/2019;;
PB;535;PB535;PBVin535;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;536;PB536;PBVin536;Vino rosso;Bibite;Bibite Fresche SPA;0,77;31/12/2019;;
PB;537;PB537;PBVin537;Vino rosso;Bibite;Bibite Fresche SPA;0,71;31/12/2019;;
PB;538;PB538;PBVin538;Vino rosso;Bibite;Bibite Fresche SPA;0,79;31/12/2019;;
PB;539;PB539;PBVin539;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;540;PB540;PBVin540;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;541;PB541;PBVin541;Vino rosso;Bibite;Bibite Fresche SPA;0,77;31/12/2019;;
PB;542;PB542;PBVin542;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;543;PB543;PBVin543;Vino rosso;Bibite;Bibite Fresche SPA;0,76;31/12/2019;;
PB;544;PB544;PBVin544;Vino rosso;Bibite;Bibite Fresche SPA;0,74;31/12/2019;;
PB;545;PB545;PBVin545;Vino rosso;Bibite;Bibite Fresche SPA;0,78;31/12/2019;;
PB;546;PB546;PBVin546;Vino rosso;Bibite;Bibite Fresche SPA;0,72;31/12/2019;;
PB;547;PB547;PBVin547;Vino rosso;Bibite;Bibite Fresche SPA;0,74;31/12/2019;;
PB;548;PB548;PBLiq548;Liquori;Bibite;Bibite Fresche SPA;6,10;31/12/2019;;
PB;549;PB549;PBLiq549;Liquori;Bibite;Bibite Fresche SPA;6,19;31/12/2019;;
PB;550;PB550;PBVin550;Vino rosso;Bibite;Bibite Fresche SPA;0,75;31/12/2019;;
PB;551;PB551;PBLiq551;Liquori;Bibite;Bibite Fresche SPA;6,29;31/12/2019;;
PB;552;PB552;PBLiq552;Liquori;Bibite;Bibite Fresche SPA;6,20;31/12/2019;;
PB;553;PB553;PBLiq553;Liquori;Bibite;Bibite Fresche SPA;6,17;31/12/2019;;
PM;554;PM554;PMFar554;Farina;Cibo;Mangia Sano SNC;1,64;31/12/2019;;
PB;555;PB555;PBBib555;Bibite Energetiche;Bibite;Bibite Fresche SPA;57,71;31/12/2019;;
PB;556;PB556;PBBib556;Bibite Energetiche;Bibite;Bibite Fresche SPA;53,12;31/12/2019;;
PB;557;PB557;PBBib557;Bibite Energetiche;Bibite;Bibite Fresche SPA;49,81;31/12/2019;;
PB;558;PB558;PBBib558;Bibite Energetiche;Bibite;Bibite Fresche SPA;55,66;31/12/2019;;
PB;559;PB559;PBBib559;Bibite Energetiche;Bibite;Bibite Fresche SPA;27,46;31/12/2019;;
PB;560;PB560;PBBib560;Bibite Energetiche;Bibite;Bibite Fresche SPA;25,69;31/12/2019;;
PB;561;PB561;PBBib561;Bibite Energetiche;Bibite;Bibite Fresche SPA;24,40;31/12/2019;;
PB;562;PB562;PBBib562;Bibite Energetiche;Bibite;Bibite Fresche SPA;26,97;31/12/2019;;
PB;563;PB563;PBBib563;Bibite Energetiche;Bibite;Bibite Fresche SPA;26,14;31/12/2019;;
PB;564;PB564;PBBib564;Bibite Energetiche;Bibite;Bibite Fresche SPA;41,53;31/12/2019;;
PB;565;PB565;PBBib565;Bibite Energetiche;Bibite;Bibite Fresche SPA;22,73;31/12/2019;;
PB;566;PB566;PBBib566;Bibite Energetiche;Bibite;Bibite Fresche SPA;25,02;31/12/2019;;
PB;567;PB567;PBVin567;Vino rosso;Bibite;Bibite Fresche SPA;2,17;31/12/2019;;
PB;568;PB568;PBVin568;Vino rosso;Bibite;Bibite Fresche SPA;1,06;31/12/2019;;
PB;569;PB569;PBVin569;Vino rosso;Bibite;Bibite Fresche SPA;1,06;31/12/2019;;
PB;570;PB570;PBVin570;Vino Bianco;Bibite;Bibite Fresche SPA;1,81;31/12/2019;;
PB;571;PB571;PBVin571;Vino Bianco;Bibite;Bibite Fresche SPA;1,88;31/12/2019;;
PB;572;PB572;PBVin572;Vino Bianco;Bibite;Bibite Fresche SPA;4,69;31/12/2019;;
PB;573;PB573;PBVin573;Vino Bianco;Bibite;Bibite Fresche SPA;4,94;31/12/2019;;
PB;574;PB574;PBVin574;Vino Bianco;Bibite;Bibite Fresche SPA;8,66;31/12/2019;;
PB;575;PB575;PBLiq575;Liquori;Bibite;Bibite Fresche SPA;40,97;31/12/2019;;
PB;576;PB576;PBLiq576;Liquori;Bibite;Bibite Fresche SPA;5,29;31/12/2019;;
PB;577;PB577;PBLiq577;Liquori;Bibite;Bibite Fresche SPA;27,73;31/12/2019;;
PB;578;PB578;PBLiq578;Liquori;Bibite;Bibite Fresche SPA;5,32;31/12/2019;;
PB;579;PB579;PBVin579;Vino Bianco;Bibite;Bibite Fresche SPA;2,81;31/12/2019;;
PB;580;PB580;PBVin580;Vino Bianco;Bibite;Bibite Fresche SPA;2,63;31/12/2019;;
PB;581;PB581;PBVin581;Vino Bianco;Bibite;Bibite Fresche SPA;2,59;31/12/2019;;
PS;582;PS582;PSOrt582;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,12;31/12/2019;;
PB;583;PB583;PBVin583;Vino Bianco;Bibite;Bibite Fresche SPA;2,58;31/12/2019;;
PS;584;PS584;PSOli584;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,19;31/12/2019;;
PB;585;PB585;PBVin585;Vino Bianco;Bibite;Bibite Fresche SPA;3,03;31/12/2019;;
PB;586;PB586;PBVin586;Vino Bianco;Bibite;Bibite Fresche SPA;2,24;31/12/2019;;
PB;587;PB587;PBVin587;Vino Bianco;Bibite;Bibite Fresche SPA;1,68;31/12/2019;;
PB;588;PB588;PBVin588;Vino Bianco;Bibite;Bibite Fresche SPA;2,86;31/12/2019;;
PB;589;PB589;PBVin589;Vino Bianco;Bibite;Bibite Fresche SPA;1,64;31/12/2019;;
PB;590;PB590;PBLiq590;Liquori;Bibite;Bibite Fresche SPA;15,47;31/12/2019;;
PS;591;PS591;PSOli591;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,25;31/12/2019;;
PB;592;PB592;PBLiq592;Liquori;Bibite;Bibite Fresche SPA;40,03;31/12/2019;;
PB;593;PB593;PBLiq593;Liquori;Bibite;Bibite Fresche SPA;39,40;31/12/2019;;
PB;594;PB594;PBVin594;Vino Bianco;Bibite;Bibite Fresche SPA;1,39;31/12/2019;;
PS;595;PS595;PSOli595;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,85;31/12/2019;;
PS;596;PS596;PSOli596;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;0,85;31/12/2019;;
PB;597;PB597;PBLiq597;Liquori;Bibite;Bibite Fresche SPA;5,96;31/12/2019;;
PB;598;PB598;PBLiq598;Liquori;Bibite;Bibite Fresche SPA;6,03;31/12/2019;;
PB;599;PB599;PBLiq599;Liquori;Bibite;Bibite Fresche SPA;5,63;31/12/2019;;
PB;600;PB600;PBLiq600;Liquori;Bibite;Bibite Fresche SPA;3,95;31/12/2019;;
PB;601;PB601;PBLiq601;Liquori;Bibite;Bibite Fresche SPA;6,39;31/12/2019;;
PB;602;PB602;PBLiq602;Liquori;Bibite;Bibite Fresche SPA;32,49;31/12/2019;;
PB;603;PB603;PBLiq603;Liquori;Bibite;Bibite Fresche SPA;34,27;31/12/2019;;
PB;604;PB604;PBLiq604;Liquori;Bibite;Bibite Fresche SPA;35,08;31/12/2019;;
PB;605;PB605;PBLiq605;Liquori;Bibite;Bibite Fresche SPA;32,60;31/12/2019;;
PB;606;PB606;PBLiq606;Liquori;Bibite;Bibite Fresche SPA;34,54;31/12/2019;;
PM;607;PM607;PMFar607;Farina;Cibo;Mangia Sano SNC;0,93;31/12/2019;;
PS;608;PS608;PSOli608;Olio speziati;Cibo;San Patrizio Food&Beverage LTD;1,17;31/12/2019;;
PS;609;PS609;PSOrt609;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,75;31/12/2019;;
PS;610;PS610;PSOli610;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;6,02;31/12/2019;;
PM;611;PM611;PMFar611;Farina;Cibo;Mangia Sano SNC;1,02;31/12/2019;;
PM;612;PM612;PMFar612;Farina;Cibo;Mangia Sano SNC;1,02;31/12/2019;;
PS;613;PS613;PSOli613;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;4,81;31/12/2019;;
PB;614;PB614;PBLiq614;Liquori;Bibite;Bibite Fresche SPA;13,39;31/12/2019;;
PB;615;PB615;PBLiq615;Liquori;Bibite;Bibite Fresche SPA;12,89;31/12/2019;;
PS;616;PS616;PSOli616;Olio d'Oliva;Cibo;San Patrizio Food&Beverage LTD;4,68;31/12/2019;;
PB;617;PB617;PBLiq617;Liquori;Bibite;Bibite Fresche SPA;8,36;31/12/2019;;
PM;618;PM618;PMFar618;Farina;Cibo;Mangia Sano SNC;1,06;31/12/2019;;
PC;619;PC619;PCCaf619;Caffè in capsule;Cibo;Caffe Brasiliano SARL;3,28;31/12/2019;;
PS;620;PS620;PSOrt620;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;3,04;31/12/2019;;
PS;621;PS621;PSSpe621;Spezie;Cibo;San Patrizio Food&Beverage LTD;7,11;31/12/2019;;
PS;622;PS622;PSSpe622;Spezie;Cibo;San Patrizio Food&Beverage LTD;5,78;31/12/2019;;
PS;623;PS623;PSOrt623;Ortaggi;Cibo;San Patrizio Food&Beverage LTD;6,61;31/12/2019;;
PM;624;PM624;PMLie624;Lievito;Cibo;Mangia Sano SNC;0,44;31/12/2019;;
PM;625;PM625;PMLie625;Lievito;Cibo;Mangia Sano SNC;0,44;31/12/2019;;
PM;626;PM626;PMLie626;Lievito;Cibo;Mangia Sano SNC;0,43;31/12/2019;;
